22:02:40.901499 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 72:108, ack 81, win 501, options [nop,nop,TS val 1967628898 ecr 2013261644], length 36
22:02:41.023784 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 81:117, ack 108, win 938, options [nop,nop,TS val 2013263484 ecr 1967628898], length 36
22:02:43.358619 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 108:144, ack 117, win 501, options [nop,nop,TS val 1967631355 ecr 2013263484], length 36
22:02:43.482717 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 117:161, ack 144, win 938, options [nop,nop,TS val 2013265942 ecr 1967631355], length 44
22:02:44.997559 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 144:180, ack 161, win 501, options [nop,nop,TS val 1967632994 ecr 2013265942], length 36
22:02:45.123162 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 161:197, ack 180, win 938, options [nop,nop,TS val 2013267584 ecr 1967632994], length 36
22:02:46.768499 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 180:216, ack 197, win 501, options [nop,nop,TS val 1967634765 ecr 2013267584], length 36
22:02:46.893154 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 197:241, ack 216, win 938, options [nop,nop,TS val 2013269352 ecr 1967634765], length 44
22:02:48.376867 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 216:252, ack 241, win 501, options [nop,nop,TS val 1967636373 ecr 2013269352], length 36
22:02:48.500900 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 241:277, ack 252, win 938, options [nop,nop,TS val 2013270960 ecr 1967636373], length 36
22:02:50.424977 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 252:288, ack 277, win 501, options [nop,nop,TS val 1967638422 ecr 2013270960], length 36
22:02:50.552333 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 277:321, ack 288, win 938, options [nop,nop,TS val 2013273012 ecr 1967638422], length 44
22:02:52.063309 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 288:324, ack 321, win 501, options [nop,nop,TS val 1967640060 ecr 2013273012], length 36
22:02:52.185644 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 321:357, ack 324, win 938, options [nop,nop,TS val 2013274646 ecr 1967640060], length 36
22:02:54.215158 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 324:360, ack 357, win 501, options [nop,nop,TS val 1967642212 ecr 2013274646], length 36
22:02:54.340861 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 357:401, ack 360, win 938, options [nop,nop,TS val 2013276800 ecr 1967642212], length 44
22:02:55.954172 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 360:396, ack 401, win 501, options [nop,nop,TS val 1967643951 ecr 2013276800], length 36
22:02:56.076548 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 401:437, ack 396, win 938, options [nop,nop,TS val 2013278536 ecr 1967643951], length 36
22:02:58.105033 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 396:432, ack 437, win 501, options [nop,nop,TS val 1967646102 ecr 2013278536], length 36
22:02:58.231063 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 437:481, ack 432, win 938, options [nop,nop,TS val 2013280690 ecr 1967646102], length 44
22:02:59.641049 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 432:468, ack 481, win 501, options [nop,nop,TS val 1967647638 ecr 2013280690], length 36
22:02:59.765623 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 481:517, ack 468, win 938, options [nop,nop,TS val 2013282225 ecr 1967647638], length 36
22:03:01.791483 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 468:504, ack 517, win 501, options [nop,nop,TS val 1967649788 ecr 2013282225], length 36
