01:06:28.931493 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3045:3081, ack 5758, win 501, options [nop,nop,TS val 1938692856 ecr 3826195341], length 36
01:06:28.960993 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5758:5794, ack 3081, win 938, options [nop,nop,TS val 3826195401 ecr 1938692856], length 36
01:06:29.051724 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3081:3117, ack 5794, win 501, options [nop,nop,TS val 1938692976 ecr 3826195401], length 36
01:06:29.079167 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5794:5830, ack 3117, win 938, options [nop,nop,TS val 3826195519 ecr 1938692976], length 36
01:06:30.251843 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3117:3153, ack 5830, win 501, options [nop,nop,TS val 1938694176 ecr 3826195519], length 36
01:06:30.279179 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5830:5866, ack 3153, win 938, options [nop,nop,TS val 3826196719 ecr 1938694176], length 36
01:06:32.709148 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3153:3189, ack 5866, win 501, options [nop,nop,TS val 1938696633 ecr 3826196719], length 36
01:06:32.720970 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3189:3225, ack 5866, win 501, options [nop,nop,TS val 1938696645 ecr 3826196719], length 36
01:06:32.735950 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5866:5902, ack 3189, win 938, options [nop,nop,TS val 3826199177 ecr 1938696633], length 36
01:06:32.745923 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5902:5938, ack 3225, win 938, options [nop,nop,TS val 3826199187 ecr 1938696645], length 36
01:06:32.913613 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3225:3261, ack 5938, win 501, options [nop,nop,TS val 1938696838 ecr 3826199187], length 36
01:06:32.942426 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5938:5974, ack 3261, win 938, options [nop,nop,TS val 3826199383 ecr 1938696838], length 36
01:06:32.956765 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3261:3297, ack 5974, win 501, options [nop,nop,TS val 1938696881 ecr 3826199383], length 36
01:06:32.984159 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5974:6010, ack 3297, win 938, options [nop,nop,TS val 3826199425 ecr 1938696881], length 36
01:06:33.047049 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3297:3333, ack 6010, win 501, options [nop,nop,TS val 1938696971 ecr 3826199425], length 36
01:06:33.075524 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6010:6046, ack 3333, win 938, options [nop,nop,TS val 3826199515 ecr 1938696971], length 36
01:06:33.149699 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3333:3369, ack 6046, win 501, options [nop,nop,TS val 1938697074 ecr 3826199515], length 36
01:06:33.176883 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6046:6082, ack 3369, win 938, options [nop,nop,TS val 3826199617 ecr 1938697074], length 36
01:06:33.301454 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3369:3405, ack 6082, win 501, options [nop,nop,TS val 1938697226 ecr 3826199617], length 36
01:06:33.328150 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6082:6118, ack 3405, win 938, options [nop,nop,TS val 3826199769 ecr 1938697226], length 36
01:06:33.439452 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3405:3441, ack 6118, win 501, options [nop,nop,TS val 1938697364 ecr 3826199769], length 36
01:06:33.467623 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6118:6154, ack 3441, win 938, options [nop,nop,TS val 3826199907 ecr 1938697364], length 36
01:06:33.524833 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3441:3477, ack 6154, win 501, options [nop,nop,TS val 1938697449 ecr 3826199907], length 36
01:06:33.554403 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6154:6190, ack 3477, win 938, options [nop,nop,TS val 3826199995 ecr 1938697449], length 36
01:06:33.656634 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3477:3513, ack 6190, win 501, options [nop,nop,TS val 1938697581 ecr 3826199995], length 36
01:06:33.683609 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6190:6226, ack 3513, win 938, options [nop,nop,TS val 3826200123 ecr 1938697581], length 36
01:06:33.769973 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3513:3549, ack 6226, win 501, options [nop,nop,TS val 1938697694 ecr 3826200123], length 36
01:06:33.797355 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6226:6262, ack 3549, win 938, options [nop,nop,TS val 3826200237 ecr 1938697694], length 36
01:06:33.882470 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3549:3585, ack 6262, win 501, options [nop,nop,TS val 1938697807 ecr 3826200237], length 36
01:06:33.914107 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6262:6298, ack 3585, win 938, options [nop,nop,TS val 3826200355 ecr 1938697807], length 36
01:06:34.003025 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3585:3621, ack 6298, win 501, options [nop,nop,TS val 1938697927 ecr 3826200355], length 36
01:06:34.034115 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6298:6334, ack 3621, win 938, options [nop,nop,TS val 3826200475 ecr 1938697927], length 36
01:06:34.062999 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3621:3657, ack 6334, win 501, options [nop,nop,TS val 1938697987 ecr 3826200475], length 36
01:06:34.090827 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6334:6370, ack 3657, win 938, options [nop,nop,TS val 3826200531 ecr 1938697987], length 36
01:06:34.149554 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3657:3693, ack 6370, win 501, options [nop,nop,TS val 1938698074 ecr 3826200531], length 36
01:06:34.177558 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6370:6406, ack 3693, win 938, options [nop,nop,TS val 3826200617 ecr 1938698074], length 36
01:06:34.266549 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3693:3729, ack 6406, win 501, options [nop,nop,TS val 1938698191 ecr 3826200617], length 36
01:06:34.293044 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6406:6442, ack 3729, win 938, options [nop,nop,TS val 3826200733 ecr 1938698191], length 36
01:06:34.334516 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3729:3765, ack 6442, win 501, options [nop,nop,TS val 1938698259 ecr 3826200733], length 36
01:06:34.360800 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6442:6478, ack 3765, win 938, options [nop,nop,TS val 3826200801 ecr 1938698259], length 36
01:06:34.391957 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3765:3801, ack 6478, win 501, options [nop,nop,TS val 1938698316 ecr 3826200801], length 36
01:06:34.419676 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6478:6514, ack 3801, win 938, options [nop,nop,TS val 3826200859 ecr 1938698316], length 36
01:06:34.482309 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3801:3837, ack 6514, win 501, options [nop,nop,TS val 1938698406 ecr 3826200859], length 36
01:06:34.513654 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6514:6550, ack 3837, win 938, options [nop,nop,TS val 3826200953 ecr 1938698406], length 36
01:06:34.577341 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3837:3873, ack 6550, win 501, options [nop,nop,TS val 1938698501 ecr 3826200953], length 36
01:06:34.604430 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6550:6586, ack 3873, win 938, options [nop,nop,TS val 3826201045 ecr 1938698501], length 36
01:06:34.639495 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3873:3909, ack 6586, win 501, options [nop,nop,TS val 1938698564 ecr 3826201045], length 36
01:06:34.666275 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6586:6622, ack 3909, win 938, options [nop,nop,TS val 3826201107 ecr 1938698564], length 36
01:06:34.716573 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3909:3945, ack 6622, win 501, options [nop,nop,TS val 1938698641 ecr 3826201107], length 36
01:06:34.742225 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6622:6658, ack 3945, win 938, options [nop,nop,TS val 3826201183 ecr 1938698641], length 36
01:06:34.784016 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3945:3981, ack 6658, win 501, options [nop,nop,TS val 1938698708 ecr 3826201183], length 36
01:06:34.812361 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6658:6694, ack 3981, win 938, options [nop,nop,TS val 3826201253 ecr 1938698708], length 36
01:06:34.952139 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3981:4017, ack 6694, win 501, options [nop,nop,TS val 1938698876 ecr 3826201253], length 36
01:06:34.978138 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6694:6730, ack 4017, win 938, options [nop,nop,TS val 3826201419 ecr 1938698876], length 36
01:06:34.990268 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4017:4053, ack 6730, win 501, options [nop,nop,TS val 1938698914 ecr 3826201419], length 36
01:06:35.016253 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6730:6766, ack 4053, win 938, options [nop,nop,TS val 3826201457 ecr 1938698914], length 36
01:06:35.163726 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4053:4089, ack 6766, win 501, options [nop,nop,TS val 1938699088 ecr 3826201457], length 36
01:06:35.192667 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6766:6802, ack 4089, win 938, options [nop,nop,TS val 3826201633 ecr 1938699088], length 36
01:06:35.678560 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4089:4125, ack 6802, win 501, options [nop,nop,TS val 1938699603 ecr 3826201633], length 36
01:06:35.704587 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6802:6838, ack 4125, win 938, options [nop,nop,TS val 3826202145 ecr 1938699603], length 36
01:06:35.985937 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4125:4161, ack 6838, win 501, options [nop,nop,TS val 1938699910 ecr 3826202145], length 36
01:06:36.014973 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6838:6882, ack 4161, win 938, options [nop,nop,TS val 3826202455 ecr 1938699910], length 44
01:06:36.293151 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4161:4197, ack 6882, win 501, options [nop,nop,TS val 1938700217 ecr 3826202455], length 36
01:06:36.322589 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4197:4233, ack 6882, win 501, options [nop,nop,TS val 1938700247 ecr 3826202455], length 36
01:06:36.324101 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6882:6918, ack 4197, win 938, options [nop,nop,TS val 3826202765 ecr 1938700217], length 36
01:06:36.348820 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6918:6954, ack 4233, win 938, options [nop,nop,TS val 3826202789 ecr 1938700247], length 36
01:06:36.600086 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4233:4269, ack 6954, win 501, options [nop,nop,TS val 1938700524 ecr 3826202789], length 36
01:06:36.628415 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6954:6990, ack 4269, win 938, options [nop,nop,TS val 3826203068 ecr 1938700524], length 36
01:06:39.468198 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4269:4305, ack 6990, win 501, options [nop,nop,TS val 1938703392 ecr 3826203068], length 36
01:06:39.496214 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 6990:7146, ack 4305, win 938, options [nop,nop,TS val 3826205937 ecr 1938703392], length 156
01:06:46.841799 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4305:4341, ack 7146, win 501, options [nop,nop,TS val 1938710766 ecr 3826205937], length 36
01:06:46.871676 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7146:7182, ack 4341, win 938, options [nop,nop,TS val 3826213311 ecr 1938710766], length 36
01:06:47.659513 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4341:4377, ack 7182, win 501, options [nop,nop,TS val 1938711584 ecr 3826213311], length 36
01:06:47.686849 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7182:7226, ack 4377, win 938, options [nop,nop,TS val 3826214127 ecr 1938711584], length 44
01:06:48.991370 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4377:4421, ack 7226, win 501, options [nop,nop,TS val 1938712916 ecr 3826214127], length 44
01:06:49.018465 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7226:7302, ack 4421, win 938, options [nop,nop,TS val 3826215459 ecr 1938712916], length 76
01:06:49.708200 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4421:4465, ack 7302, win 501, options [nop,nop,TS val 1938713632 ecr 3826215459], length 44
01:06:49.736554 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7302:7426, ack 4465, win 938, options [nop,nop,TS val 3826216177 ecr 1938713632], length 124
01:06:50.117566 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4465:4509, ack 7426, win 501, options [nop,nop,TS val 1938714042 ecr 3826216177], length 44
01:06:50.147912 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7426:7470, ack 4509, win 938, options [nop,nop,TS val 3826216587 ecr 1938714042], length 44
01:06:50.629238 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4509:4553, ack 7470, win 501, options [nop,nop,TS val 1938714553 ecr 3826216587], length 44
01:06:50.657075 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7470:7538, ack 4553, win 938, options [nop,nop,TS val 3826217097 ecr 1938714553], length 68
01:06:51.858547 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4553:4589, ack 7538, win 501, options [nop,nop,TS val 1938715783 ecr 3826217097], length 36
01:06:51.886061 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7538:7574, ack 4589, win 938, options [nop,nop,TS val 3826218325 ecr 1938715783], length 36
01:06:53.163340 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7574:7674, ack 4589, win 938, options [nop,nop,TS val 3826219603 ecr 1938715810], length 100
01:06:53.163393 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7674:7758, ack 4589, win 938, options [nop,nop,TS val 3826219603 ecr 1938715810], length 84
01:06:53.163403 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7758:7898, ack 4589, win 938, options [nop,nop,TS val 3826219604 ecr 1938715810], length 140
01:06:53.163409 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7898:7998, ack 4589, win 938, options [nop,nop,TS val 3826219604 ecr 1938715810], length 100
01:06:53.229469 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 7998:8746, ack 4589, win 938, options [nop,nop,TS val 3826219669 ecr 1938717088], length 748
01:06:54.546866 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4589:4625, ack 8746, win 501, options [nop,nop,TS val 1938718471 ecr 3826219669], length 36
01:06:54.596344 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 4625:4661, ack 8746, win 501, options [nop,nop,TS val 1938718520 ecr 3826219669], length 36
