00:34:57.818738 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1093:1129, ack 900, win 938, options [nop,nop,TS val 3824304267 ecr 1936801716], length 36
00:34:58.077981 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 900:936, ack 1129, win 501, options [nop,nop,TS val 1936802002 ecr 3824304267], length 36
00:34:58.110803 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1129:1165, ack 936, win 938, options [nop,nop,TS val 3824304560 ecr 1936802002], length 36
00:34:59.511909 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1165:1265, ack 936, win 938, options [nop,nop,TS val 3824305868 ecr 1936802035], length 100
00:34:59.511964 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1265:1349, ack 936, win 938, options [nop,nop,TS val 3824305868 ecr 1936802035], length 84
00:34:59.512191 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1349:1441, ack 936, win 938, options [nop,nop,TS val 3824305868 ecr 1936802035], length 92
00:34:59.512439 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1441:1581, ack 936, win 938, options [nop,nop,TS val 3824305868 ecr 1936802035], length 140
00:34:59.512467 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1581:1617, ack 936, win 938, options [nop,nop,TS val 3824305868 ecr 1936802035], length 36
00:34:59.512475 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1581:1617, ack 936, win 938, options [nop,nop,TS val 3824305934 ecr 1936802035], length 36
00:34:59.512485 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1617:2365, ack 936, win 938, options [nop,nop,TS val 3824305934 ecr 1936802035], length 748
00:35:03.508258 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 936:972, ack 2365, win 501, options [nop,nop,TS val 1936807432 ecr 3824305934], length 36
00:35:03.600406 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2365:2401, ack 972, win 938, options [nop,nop,TS val 3824310049 ecr 1936807432], length 36
00:35:03.616210 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 972:1008, ack 2401, win 501, options [nop,nop,TS val 1936807540 ecr 3824310049], length 36
00:35:03.709031 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2401:2437, ack 1008, win 938, options [nop,nop,TS val 3824310157 ecr 1936807540], length 36
00:35:03.748197 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1008:1044, ack 2437, win 501, options [nop,nop,TS val 1936807672 ecr 3824310157], length 36
00:35:03.844399 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2437:2529, ack 1044, win 938, options [nop,nop,TS val 3824310292 ecr 1936807672], length 92
00:35:03.844647 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2529:2645, ack 1044, win 938, options [nop,nop,TS val 3824310292 ecr 1936807672], length 116
00:35:04.562994 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1044:1080, ack 2645, win 501, options [nop,nop,TS val 1936808487 ecr 3824310292], length 36
00:35:04.656347 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2645:2681, ack 1080, win 938, options [nop,nop,TS val 3824311103 ecr 1936808487], length 36
00:35:04.730716 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1080:1116, ack 2681, win 501, options [nop,nop,TS val 1936808655 ecr 3824311103], length 36
00:35:04.804994 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1116:1152, ack 2681, win 501, options [nop,nop,TS val 1936808729 ecr 3824311207], length 36
00:35:04.824543 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2681:2717, ack 1116, win 938, options [nop,nop,TS val 3824311273 ecr 1936808655], length 36
00:35:04.897392 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2717:2753, ack 1152, win 938, options [nop,nop,TS val 3824311345 ecr 1936808749], length 36
00:35:04.913913 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1152:1188, ack 2753, win 501, options [nop,nop,TS val 1936808838 ecr 3824311345], length 36
00:35:05.008223 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2753:2789, ack 1188, win 938, options [nop,nop,TS val 3824311455 ecr 1936808838], length 36
00:35:06.577251 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1188:1224, ack 2789, win 501, options [nop,nop,TS val 1936810501 ecr 3824311455], length 36
00:35:06.670860 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2789:2825, ack 1224, win 938, options [nop,nop,TS val 3824313119 ecr 1936810501], length 36
00:35:06.704746 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1224:1260, ack 2825, win 501, options [nop,nop,TS val 1936810629 ecr 3824313119], length 36
00:35:06.787645 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1260:1296, ack 2825, win 501, options [nop,nop,TS val 1936810712 ecr 3824313178], length 36
00:35:06.796562 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2825:2861, ack 1260, win 938, options [nop,nop,TS val 3824313245 ecr 1936810629], length 36
00:35:06.880645 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2861:2897, ack 1296, win 938, options [nop,nop,TS val 3824313329 ecr 1936810762], length 36
00:35:07.021563 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1296:1332, ack 2897, win 501, options [nop,nop,TS val 1936810946 ecr 3824313329], length 36
00:35:07.114856 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2897:2933, ack 1332, win 938, options [nop,nop,TS val 3824313561 ecr 1936810946], length 36
00:35:07.243643 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1332:1368, ack 2933, win 501, options [nop,nop,TS val 1936811168 ecr 3824313561], length 36
00:35:07.336441 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2933:2969, ack 1368, win 938, options [nop,nop,TS val 3824313783 ecr 1936811168], length 36
00:35:07.419001 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1368:1404, ack 2969, win 501, options [nop,nop,TS val 1936811343 ecr 3824313783], length 36
00:35:07.511585 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 2969:3005, ack 1404, win 938, options [nop,nop,TS val 3824313959 ecr 1936811343], length 36
00:35:07.613317 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1404:1440, ack 3005, win 501, options [nop,nop,TS val 1936811537 ecr 3824313959], length 36
