13:39:37.295450 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3429:3473, ack 7426, win 501, options [nop,nop,TS val 4021136443 ecr 3038583581], length 44
13:39:37.391742 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7426:7550, ack 3473, win 938, options [nop,nop,TS val 3038584299 ecr 4021136443], length 124
13:39:37.401966 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3473:3517, ack 7550, win 501, options [nop,nop,TS val 4021136550 ecr 3038584299], length 44
13:39:37.495973 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7550:7594, ack 3517, win 938, options [nop,nop,TS val 3038584405 ecr 4021136550], length 44
13:39:37.599018 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3517:3561, ack 7594, win 501, options [nop,nop,TS val 4021136747 ecr 3038584405], length 44
13:39:37.693558 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7594:7630, ack 3561, win 938, options [nop,nop,TS val 3038584601 ecr 4021136747], length 36
13:39:38.422781 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3561:3597, ack 7630, win 501, options [nop,nop,TS val 4021137571 ecr 3038584601], length 36
13:39:38.517391 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7630:7666, ack 3597, win 938, options [nop,nop,TS val 3038585425 ecr 4021137571], length 36
13:39:38.557770 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3597:3633, ack 7666, win 501, options [nop,nop,TS val 4021137706 ecr 3038585425], length 36
13:39:38.653524 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7666:7702, ack 3633, win 938, options [nop,nop,TS val 3038585561 ecr 4021137706], length 36
13:39:38.933448 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3633:3669, ack 7702, win 501, options [nop,nop,TS val 4021138081 ecr 3038585561], length 36
13:39:39.030733 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7702:7794, ack 3669, win 938, options [nop,nop,TS val 3038585938 ecr 4021138081], length 92
13:39:39.030783 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7794:7910, ack 3669, win 938, options [nop,nop,TS val 3038585938 ecr 4021138081], length 116
13:39:39.091972 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3669:3705, ack 7910, win 501, options [nop,nop,TS val 4021138240 ecr 3038585938], length 36
13:39:39.187428 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7910:7946, ack 3705, win 938, options [nop,nop,TS val 3038586095 ecr 4021138240], length 36
